organizer_id,organizer_name,organizer_email,organizer_phone,organizer_website,events_count,events_list,first_event,last_event,contact_priority
info,sportsfacilities,info@sportsfacilities.com.ar,+54 01146862070,https://15kunderarmour.com/,2,15K Under Armour 2024; 15K Under Armour 2025,15K Under Armour 2024,15K Under Armour 2025,Alta
info,carreraciudadlimpia,info@carreraciudadlimpia.com.ar,+54 1146862070,https://carreraciudadlimpia.com.ar/,2,Carrera Ciudad Limpia 2024; Carrera Ciudad Limpia 2025,Carrera Ciudad Limpia 2024,Carrera Ciudad Limpia 2025,Alta
info,crossports,info@crossports.com.ar,+54 sin numero,https://www.crossports.com.ar/duatlon2025,2,Duatlon Buenos Aires Junio 2025; Duatlon Buenos Aires Agosto 2025,Duatlon Buenos Aires Junio 2025,Duatlon Buenos Aires Agosto 2025,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://blackmusicrun.com/,1,The Black Music Run 2023,The Black Music Run 2023,The Black Music Run 2023,Alta
info,maratondebuenosaires,info@maratondebuenosaires.com,+54 +54000,https://maratondebuenosaires.com/,1,10K Vicente López,10K Vicente López,10K Vicente López,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://vidasilvestre.org.ar/,1,La hora del planeta 2023,La hora del planeta 2023,La hora del planeta 2023,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://buenosairescorre.com.ar/,1,Buenos Aires Corre 2023,Buenos Aires Corre 2023,Buenos Aires Corre 2023,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://10k.brooksrunning.ar/,1,Brooks Run Happy 2023,Brooks Run Happy 2023,Brooks Run Happy 2023,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 46862070,https://armeniacorre.com.ar/,1,Armenia Corre 2023,Armenia Corre 2023,Armenia Corre 2023,Alta
info,crossports,info@crossports.com.ar,+54 Sin telefono,https://www.crossports.com.ar/duatlon2023/,1,Duatlon Buenos Aires Agosto 2023,Duatlon Buenos Aires Agosto 2023,Duatlon Buenos Aires Agosto 2023,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://carrerahighprotein.com/,1,Carrera High Protein Pedigree,Carrera High Protein Pedigree,Carrera High Protein Pedigree,Alta
info,carreraciudadverde,info@carreraciudadverde.com.ar,+54 1146862070,https://carreraciudadverde.com.ar/,1,Carrera Ciudad Verde 2023,Carrera Ciudad Verde 2023,Carrera Ciudad Verde 2023,Alta
informes,casamanu,informes@casamanu.org.ar,+54 1147209795,http://www.casamanu.org.ar/,1,11va Correcaminata Solidaria,11va Correcaminata Solidaria,11va Correcaminata Solidaria,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://circuitoausa.com.ar/,1,Circuito AUSA 2023,Circuito AUSA 2023,Circuito AUSA 2023,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://sansilvestrebuenosaires.com/,1,San Silvestre 2023,San Silvestre 2023,San Silvestre 2023,Alta
info,maratondebuenosaires,info@maratondebuenosaires.com,+54 Sin numero,https://buenosairescorre.com.ar/,1,adidas Supernova 10K,adidas Supernova 10K,adidas Supernova 10K,Alta
deporteactivo,zarate,deporteactivo@zarate.gob.ar,+54 Sin numero,https://sportsfacilities.com.ar/,1,10K Zárate,10K Zárate,10K Zárate,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 01146862070,https://sportsfacilities.com.ar/,1,Seguros Corre 2024,Seguros Corre 2024,Seguros Corre 2024,Alta
info,maratonnocturna,info@maratonnocturna.com,+54 sin numero,https://maratonnocturna.com/,1,Maratón Nocturna Ciudad de Mendoza 2024,Maratón Nocturna Ciudad de Mendoza 2024,Maratón Nocturna Ciudad de Mendoza 2024,Alta
info,crossports,info@crossports.com.ar,+54 sin numero,http://www.crossports.com.ar/,1,Duatlon Buenos Aires Mayo 2025,Duatlon Buenos Aires Mayo 2025,Duatlon Buenos Aires Mayo 2025,Alta
inscripciones,dogrun,inscripciones@dogrun.com.ar,+54 1146862070,https://dogrun.com.ar/,1,DOGRUN 2025,DOGRUN 2025,DOGRUN 2025,Alta
